percentile,canon_n,non_canon_n,canon_share_of_whole_canon,non_canon_share_of_whole_non_canon,percentile_internal_canon_fraction
1,16305,78154,0.4168157881282274,0.3398738856273103,0.17261457351866946
2,4840,30058,0.1237282069635462,0.13071537290715374,0.13868989626912717
3,3112,18757,0.07955416943606523,0.08156990650141335,0.1423018885179935
4,2201,13399,0.05626565775346388,0.05826918895412046,0.14108974358974358
5,1631,10014,0.04169436065238509,0.04354859752120026,0.14006011163589524
6,1273,7890,0.03254256352574263,0.03431180691454664,0.13892829859216413
7,1048,6777,0.02679073572268521,0.029471624266144813,0.1339297124600639
8,816,5419,0.020859962165754895,0.0235659926070885,0.13087409783480353
9,728,4575,0.01861035840278133,0.01989562948467058,0.1372807844616255
10,595,4054,0.015210389079196278,0.017629919547727767,0.12798451279845127
11,514,3490,0.013139731070095608,0.01517721243748641,0.12837162837162838
12,436,2904,0.011145764098369038,0.012628832354859752,0.13053892215568863
13,349,2645,0.00892172401452017,0.011502500543596434,0.11656646626586506
14,406,2427,0.010378853724628049,0.01055446836268754,0.14331097776208965
15,294,2236,0.007515721662661691,0.009723853011524244,0.11620553359683794
16,245,2101,0.006263101385551409,0.00913676886279626,0.10443307757885763
17,257,1667,0.006569865535047804,0.0072494020439225915,0.13357588357588357
18,271,1942,0.006927757042793599,0.008445314198738856,0.12245820153637596
19,80,754,0.00204509432997597,0.003278973689932594,0.09592326139088729
20,357,2250,0.009126233447517767,0.009784735812133072,0.13693901035673187
21,123,1118,0.003144332532338054,0.004861926505762122,0.0991136180499597
22,87,436,0.0022240400838488676,0.0018960643618177865,0.16634799235181644
23,157,1085,0.004013497622577841,0.0047184170471841706,0.12640901771336555
24,331,2734,0.008461577790275577,0.011889541204609697,0.10799347471451876
25,70,810,0.001789457538728974,0.0035225048923679062,0.07954545454545454
26,26,301,0.0006646556572421902,0.001308980213089802,0.07951070336391437
27,15,172,0.0003834551868704944,0.0007479886931941726,0.08021390374331551
28,52,281,0.0013293113144843805,0.0012220047836486194,0.15615615615615616
29,155,1044,0.003962370264328442,0.004540117416829746,0.1292743953294412
30,442,3680,0.011299146173117235,0.016003479017177646,0.10722950024260068
31,133,1370,0.0033999693235850503,0.005957816916721027,0.08848968729208251
32,62,607,0.0015849481057313769,0.0026397042835399,0.09267563527653214
33,20,181,0.0005112735824939925,0.000787127636442705,0.09950248756218906
34,9,69,0.00023007311212229665,0.00030006523157208087,0.11538461538461539
35,11,44,0.0002812004703716959,0.0001913459447706023,0.2
36,10,81,0.00025563679124699626,0.0003522504892367906,0.10989010989010989
37,1,31,2.5563679124699628e-05,0.00013481191563383344,0.03125
38,15,51,0.0003834551868704944,0.00022178734507501631,0.22727272727272727
39,8,34,0.00020450943299759702,0.00014785823005001087,0.19047619047619047
40,48,371,0.001227056597985582,0.001613394216133942,0.11455847255369929
41,63,439,0.0016105117848560764,0.001909110676233964,0.1254980079681275
42,259,1724,0.006620992893297204,0.007497282017829963,0.13061018658598084
43,630,5654,0.016105117848560765,0.024587953903022396,0.10025461489497135
44,432,3863,0.011043509381870239,0.01679930419656447,0.10058207217694994
45,109,1190,0.0027864410245922594,0.005175038051750381,0.08391070053887606
46,59,662,0.001508257068357278,0.002878886714503153,0.08183079056865465
47,21,257,0.0005368372616186922,0.0011176342683192,0.07553956834532374
48,10,120,0.00025563679124699626,0.0005218525766470972,0.07692307692307693
49,2,27,5.1127358249399256e-05,0.00011741682974559687,0.06896551724137931
50,0,0,0.0,0.0,0
51,0,1,0.0,4.348771472059144e-06,0.0
52,0,0,0.0,0.0,0
53,0,0,0.0,0.0,0
54,0,0,0.0,0.0,0
55,0,0,0.0,0.0,0
56,0,0,0.0,0.0,0
57,0,0,0.0,0.0,0
58,0,0,0.0,0.0,0
59,0,0,0.0,0.0,0
60,0,0,0.0,0.0,0
61,0,0,0.0,0.0,0
62,0,0,0.0,0.0,0
63,0,0,0.0,0.0,0
64,0,0,0.0,0.0,0
65,0,0,0.0,0.0,0
66,0,0,0.0,0.0,0
67,0,0,0.0,0.0,0
68,0,0,0.0,0.0,0
69,0,0,0.0,0.0,0
70,0,0,0.0,0.0,0
71,0,0,0.0,0.0,0
72,0,0,0.0,0.0,0
73,0,0,0.0,0.0,0
74,0,0,0.0,0.0,0
75,0,0,0.0,0.0,0
76,0,0,0.0,0.0,0
77,0,0,0.0,0.0,0
78,0,0,0.0,0.0,0
79,0,0,0.0,0.0,0
80,0,0,0.0,0.0,0
81,0,0,0.0,0.0,0
82,0,0,0.0,0.0,0
83,0,0,0.0,0.0,0
84,0,0,0.0,0.0,0
85,0,0,0.0,0.0,0
86,0,0,0.0,0.0,0
87,0,0,0.0,0.0,0
88,0,0,0.0,0.0,0
89,0,0,0.0,0.0,0
90,0,0,0.0,0.0,0
91,0,0,0.0,0.0,0
92,0,0,0.0,0.0,0
93,0,0,0.0,0.0,0
94,0,0,0.0,0.0,0
95,0,0,0.0,0.0,0
96,0,0,0.0,0.0,0
97,0,0,0.0,0.0,0
98,0,0,0.0,0.0,0
99,0,0,0.0,0.0,0
100,0,0,0.0,0.0,0
